Event	Start	End	Code cours
10178-07	18-10-2021 10:00:00	18-10-2021 12:00:00	TRAD0110-B-a
10180-07	18-10-2021 16:00:00	18-10-2021 18:00:00	TRAD0096-A-a
1024-07	18-10-2021 08:30:00	18-10-2021 10:30:00	PHAC0341-A-b
10258-07	18-10-2021 14:00:00	18-10-2021 16:00:00	VETE0432-A-d
10398-07	18-10-2021 15:45:00	18-10-2021 17:45:00	CHIM0310-B-a
10446-07	18-10-2021 08:00:00	18-10-2021 10:00:00	HULG9168-A-a
10464-07	18-10-2021 12:00:00	18-10-2021 14:00:00	TRAD0063-A-a
10489-07	18-10-2021 18:00:00	18-10-2021 20:00:00	ISLV0307-A-a
10498-07	18-10-2021 08:00:00	18-10-2021 10:00:00	ASIE0015-A-a
10511-07	18-10-2021 17:00:00	18-10-2021 19:00:00	SEMI0726-A-a
10518-07	18-10-2021 14:00:00	18-10-2021 16:00:00	TRAD0101-B-a
10594-07	18-10-2021 13:00:00	18-10-2021 14:30:00	ECON0824-A-a
10648-07	18-10-2021 08:30:00	18-10-2021 18:30:00	CHIM9289-E-a
10796-07	18-10-2021 10:30:00	18-10-2021 12:00:00	INTR0001-A-a
10799-07	18-10-2021 09:00:00	18-10-2021 10:00:00	INTR0018-A-a
10800-07	18-10-2021 12:00:00	18-10-2021 14:00:00	INTR0022-A-a
10908-07	18-10-2021 08:00:00	18-10-2021 09:00:00	PROT0241-A-a
10980-07	18-10-2021 10:40:00	18-10-2021 12:40:00	HULG0464-A-a
11040-07	18-10-2021 14:00:00	18-10-2021 18:00:00	GENE0432-C-c
1117-07	18-10-2021 13:00:00	18-10-2021 15:00:00	LANG0077-B-a
11186-07	18-10-2021 11:00:00	18-10-2021 13:00:00	HULG9404-A-a
11217-07	18-10-2021 15:00:00	18-10-2021 17:00:00	LGER0210-A-a
11307-07	18-10-2021 10:00:00	18-10-2021 12:00:00	INTR0018-B-a
11401-07	18-10-2021 08:00:00	18-10-2021 12:00:00	BIOL0215-A-a
