Name celcat;Name;Neighbourhood;Capacity;Building;Type
A1 3/22;A1 3/22;Liège centre - 20-Août;45;A1;Salle de cours
A1 3/24;A1 3/24;Liège centre - 20-Août;45;A1;Salle de cours
A1 3/26a;A1 3/26a;Liège centre - 20-Août;25;A1;Salle de cours
A1 3/26b;A1 3/26b;Liège centre - 20-Août;20;A1;Salle de cours
A1 3/28a;A1 3/28a;Liège centre - 20-Août;15;A1;Salle de cours
A1 3/28b;A1 3/28b;Liège centre - 20-Août;20;A1;Salle de cours
A1 3/52;A1 3/52;Liège centre - 20-Août;10;A1;Salle de cours
A1 CEDOPAL (3/46);A1 CEDOPAL;Liège centre - 20-Août;10;A1;Salle de cours
A1 Espace philo (3/36);A1 Espace philo;Liège centre - 20-Août;20;A1;Salle de cours
A1 Philo1 (2/35A);A1 Philo1;Liège centre - 20-Août;20;A1;Salle de cours
A1 Philo2 (2/28C);A1 Philo2;Liège centre - 20-Août;50;A1;Salle de cours
A1 Salle Commu2 (2/24b);A1 Salle Commu2;Liège centre - 20-Août;40;A1;Salle de cours
A1 Salle de réunion du décanat (0/45);A1 Salle de réunion du décanat;Liège centre - 20-Août;8;A1;Salle de cours
A1 Séminaire cinéma (2/48a);A1 Séminaire cinéma;Liège centre - 20-Août;20;A1;Salle de cours
A1 Séminaire média (2/7a);A1 Séminaire média;Liège centre - 20-Août;40;A1;Salle de cours
A1 Séminaire théâtre (2/53a);A1 Séminaire théâtre;Liège centre - 20-Août;10;A1;Salle de cours
A1J 2/66 (2/66);A1J 2/66;Liège centre - 20-Août;15;A1J;Salle de cours
A1J 2/67;A1J 2/67;Liège centre - 20-Août;15;A1J;Salle de cours
A1J 2/68;A1J 2/68;Liège centre - 20-Août;10;A1J;Salle de cours
A1J 2/69a;A1J 2/69a;Liège centre - 20-Août;15;A1J;Salle de cours
A1J Salle Moyen Physique (0/72);A1J Salle Moyen Physique;Liège centre - 20-Août;40;A1J;Salle de cours
A2 2/3;A2 2/3;Liège centre - 20-Août;15;A2;Salle de cours
A2 2/5;A2 2/5;Liège centre - 20-Août;15;A2;Salle de cours
