Event,Room
10061-07,A1J Salle Wittert (0/64a)
10099-07,B7a A303 (0/3)
10116-07,B6d R26 (0/26)
10149-07,N1a 119 (1/19)
10224-07,B4 A204 (0/24)
10312-07,B35a Welsch (0/7)
10452-07,B7a S3 (-1/15)
10454-07,B21 Laboratoire de pedagogie (3/17)
10457-07,B37 S.39 (-1/39)
10474-07,I1 Amphi de Zoologie (0/39)
10536-07,A1 Salle Academique (0/47)
10558-07,A1 Salle Academique (0/47)
10627-07,B7a S1 (-1/17a)
1067-07,O2 Noppius (2/3a)
10672-07,B11 1/12
10770-07,B45 AMPHI C (0/8)
10802-07,B5a Geomatique (2/43)
10832-07,B31 Durkheim (0/102)
10835-07,N1a 35 (0/35)
10843-07,B31 Marx (4/84)
109-07,A2 5/11
10909-07,B22/1 Auditoire (0/35)
10927-07,B21 Salle de cours ISEPK (2/11A)
10950-07,B20 R 91 (0/18)
10951-07,B31 Tocqueville (2/84)
11062-07,A2 Salle Wilmotte (3/25)
11065-07,B42 Amphi B (0/3a)
11076-07,A1J Salle Grand Physique (1/76)
11078-07,B6d R30 (0/30)
11110-07,N1a 119 (1/19)
11128-07,B7b A3 (0/30)
11131-07,B6a R43 (0/43)
11132-07,B7a A1 (-1/10)
11133-07,B41 Module 5 (1/90)
11175-07,B6c 1/75
11182-07,B43a Amphi D (2/36a)
11185-07,B7a A300 (0/5)
11225-07,B41 AMPHI A (0/5a)
11229-07,B35a Welsch (0/7)
11474-07,B37 S.36 (-1/36)
11484-07,B41 AMPHI A (0/5a)
11499-07,O2 Thiry (2/8a)
11609-07,B31 Laurent (4/89)
11654-07,B35a F50 (2/9)
11658-07,A1 3/26a
11683-07,B32 DYNAMIQUE des GROUPES (0/6)
11762-07,B41 Salle 8/TP sous RX (-1/47)
1180-07,B28 R.18 (0/18)
11824-07,B28 1.94
11828-07,B42 Salle RUPO 4 (0/81)
11856-07,B43a Salle de Parasitologie (2/68)
11890-07,B7b A202 (0/26)
11917-07,N1a 30 (0/30)
12003-07,A2 4/12
1209-07,B6d C26 (-1/26)
1212-07,L5 (2/7)
12131-07,O2 Lejeune (1/3a)
12268-07,O2 Noppius (2/3a)
12269-07,F1 Grand auditoire B01 (0/2)
12320-07,A1J Salle Grand Physique (1/76)
12386-07,B31 Laurent (4/89)
12489-07,L3 Auditoire 0/13A
12490-07,B18 R 122 (0/122)
12493-07,B41 Module 3 (1/88)
12502-07,L5 (0/3)
12563-07,B34 Amphi Leon Fredericq (5/59A)
12582-07,B35a Bacq & Florkin (1/8)
12595-07,B4 A604 (0/75)
12596-07,A2 Salle Kurth (1/25)
12604-07,B31 Salle du conseil (3/18)
12605-07,N1a 34 (0/34)
12680-07,B36 salle 4 (-1/13)
1268-07,B7b A202 (0/26)
1269-07,I1 Amphi de Zoologie (0/39)
12693-07,B36 salle 7 (-1/10)
12761-07,L1 Stuttgart (0/34)
12764-07,A2 6/8
12780-07,F1 Auditoire B03 (1/33)
1293-07,B6d S38 (-1/38)
12934-07,A2 Salle Kurth (1/25)
13013-07,B5b R19 (0/19)
1302-07,B35a Bacq & Florkin (1/8)
13087-07,A2 6/11
13118-07,B41 AMPHI A (0/5a)
13173-07,B36 salle 2 (-1/15)
13217-07,B4 1/24 (1/88)
13232-07,B4 A304 (0/30)
13236-07,J6 Auditoire (0/35)
13259-07,L1 Bucarest (1/31)
1327-07,N1d (1/82)
1329-07,B7a A300 (0/5)
1332-07,B4 A604 (0/75)
1333-07,B31 Domat (0/89)
13357-07,L5 (1/6)
13382-07,B6d S38 (-1/38)
1339-07,B52 (1/433)
13462-07,B7b A4 (0/29)
13526-07,N1a 50 (0/50)
136-07,E1 Salle graphique Constitution (0/5)
1362-07,A2 Salle Wilmotte (3/25)
