,Enrolled
2329-07,287
11491-07,15
6886-07,592
1230-07,46
20347-07,117
23099-07,37
8102-07,209
15873-07,31
11501-07,305
14729-07,58
18223-07,181
25965-07,182
10449-07,27
24132-07,63
4911-07,21
6061-07,4
1665-07,164
539-07,37
686-07,7
3547-07,408
2326-07,503
6765-07,296
5769-07,1
10983-07,15
24643-07,21
6057-07,23
357-07,57
599-07,19
13842-07,30
247-07,20
17883-07,574
3161-07,56
5734-07,19
9461-07,29
6399-07,23
11707-07,1
2180-07,345
1220-07,5
4390-07,267
8846-07,66
5904-07,28
10461-07,22
17731-07,189
12735-07,11
23883-07,16
8994-07,3
1152-07,164
15343-07,151
666-07,337
2199-07,21
1882-07,124
13090-07,42
2671-07,2
9003-07,3
10619-07,40
2455-07,16
679-07,17
2640-07,164
4585-07,220
1425-07,50
18076-07,41
10647-07,15
1112-07,209
7347-07,18
5456-07,20
5086-07,29
271-07,318
12770-07,305
19319-07,3
980-07,39
11466-07,8
291-07,25
14819-07,5
2673-07,23
5526-07,179
4979-07,7
14004-07,617
14395-07,172
11930-07,276
4582-07,245
16061-07,16
23870-07,182
14943-07,315
3135-07,5
11825-07,27
1753-07,6
493-07,3
1359-07,162
16665-07,4
5974-07,179
10610-07,11
2316-07,156
2625-07,18
11921-07,236
1746-07,6
6055-07,2
17823-07,2
15013-07,24
15846-07,272
16533-07,2
18531-07,49
15547-07,115
14218-07,19
29047-07,14
3751-07,250
5613-07,18
17465-07,34
5987-07,21
855-07,206
11829-07,10
169-07,227
4135-07,40
2943-07,176
15325-07,154
16297-07,33
6974-07,26
8156-07,144
1157-07,164
682-07,5
13815-07,29
13693-07,3
17825-07,37
17379-07,9
4073-07,408
1754-07,173
21931-07,188
1844-07,81
12820-07,3
1450-07,1
18485-07,53
12073-07,2
5663-07,1
1408-07,1
5764-07,26
4855-07,90
7738-07,142
2044-07,31
5032-07,272
9173-07,1
5211-07,387
986-07,227
1435-07,41
4893-07,104
1206-07,67
13314-07,28
16356-07,272
698-07,8
14512-07,36
17054-07,31
919-07,22
13899-07,88
16026-07,551
1159-07,10
13576-07,102
1158-07,164
944-07,12
6794-07,3
15150-07,52
7406-07,266
2029-07,114
2101-07,14
24393-07,55
125-07,22
12676-07,24
16444-07,92
19192-07,19
3784-07,11
1010-07,21
6026-07,179
9342-07,15
6067-07,12
939-07,13
5885-07,112
9469-07,2
494-07,23
11826-07,16
5241-07,179
11831-07,5
13407-07,137
1503-07,7
10240-07,43
11322-07,20
946-07,18
4948-07,86
10450-07,16
19021-07,20
11951-07,169
10804-07,1
9471-07,2
6472-07,27
6758-07,5
14107-07,28
1529-07,144
17653-07,2
14411-07,172
19876-07,277
681-07,1
8322-07,137
13447-07,76
5033-07,272
1765-07,13
669-07,251
11905-07,39
683-07,2
15323-07,91
933-07,4
15506-07,135
2377-07,211
13102-07,215
18901-07,36
20643-07,12
580-07,241
17983-07,381
3552-07,13
663-07,57
4257-07,250
11519-07,1
4291-07,3
15478-07,24
13587-07,109
22446-07,39
4386-07,202
358-07,15
2784-07,272
10492-07,1
12893-07,182
14587-07,116
15947-07,22
693-07,67
3047-07,220
2835-07,20
2529-07,111
14585-07,250
6862-07,57
7283-07,268
12288-07,9
17153-07,1
6889-07,169
11990-07,1
7753-07,69
16223-07,535
1201-07,2
26242-07,15
904-07,32
1205-07,13
22702-07,241
5266-07,30
2708-07,253
16743-07,8
4139-07,74
4658-07,8
19236-07,236
12525-07,32
11923-07,276
18985-07,35
1429-07,1
1508-07,4
118-07,142
11126-07,15
15555-07,16
6319-07,23
12756-07,97
4981-07,22
6657-07,600
11656-07,15
